Sr.No,"School Code",School,City,Address,"Phone Nos","Principal Name",State,Pincode,"Co-ordinator1 Name","Co-ordinator1 Contact No.","Co-ordinator2 Name","Co-ordinator2 Contact No."
1,19282,"Sri Kumaran Children^s Home",Bangalore,"Tata Silk Farm, Basavanagudi, ","080-26763381, 26765965","Mrs. Meenakshi Balakrishnan",Karnataka,560004,Ms.Triveni,9880302288,,
2,383080,"Maria^s Public School",Guwahati,"Birkuchi, Narengi, ","0361-2647880, 2641721, 9864157285","Ms. Alpana",Assam,781026,"Mrs. Lipi Choudhury",9435016531,,
3,565969,"Techno India Group Public School-Garia",Kolkata,"Techno City, Panchpota Police Para, Garia, ","033-24367991, 24364028","Mr. Shyama Prasad Nandi","West Bengal",700152,"Sumita Saha",980474978,,
4,576487,"MSB Matriculation Higher Secondary School",Chennai,"30, Salai Vinayagar Koil Street, Broadway, ","044-25243583, 25220869","Ms. Tasneem Lokhadwala","Tamil Nadu",600001,"Mrs. P Jayanthi",8056008048,"Ms. Fatima Colombowala",9791117112
5,711882,"Saint Paul^s School",Rajkot,"PB No: 1519, Saurashtra  Univ. P.O, Rajkot ","0281-9737499910, 2587759, 2925161","Fr. James CMI",Gujarat,360005,"Ms. Treeba Kurian",9537875842,,
6,1438430,"Swiss Cottage School",Gurgaon,"Opposite House No. 2908, Sector-23, ",0124-4259944,"Mrs. Inderpeet Suri",Haryana,110061,"Mrs. Shilpi Singh ",9560323355,,
7,1873384,"G G International School",Pune,"Survey No 174-177 Swarganga, Nr. YCM Hospital, Vallabhnagar, Old Pune Mumbai Highway Road, Pimpri, ","020-27307036, 9970170221","Ms. Bharti Bhagwani  ",Maharashtra,411018,"Ms. Dhruvi Bhatia",9823362384,,
8,2508739,"Tree House High School, Kondhwa",Pune,"38 Pokale Mala   Behind Welcome Hall, Kondhwa, Khurd, ","020-2026 1283","Ms. Zelma Adam",Maharashtra,411048,"Ms. Zelma Adam",0264510011,,
9,2863833,"Sri Seshaas International Public School",Salem,"Yercaud Foot Hills, Kondapanaickenpatti, Salem - 636008",0427-2402666,Shailaja,"Tamil Nadu",636008,,,,
10,3148463,"National English School, Rajarhat",Kolkata,"Kalaberia Rajarhat, Kamrbari",033-9830137772,"Mrs. Mousumi Saha","West Bengal",700059,"Ms. KavitaTrivedi",9874316109,,
11,3258763,"Shiksha The Gurukul",Tinsukia,"N.H-37, Chotahapjan  PO;- Borhapjan, District-Tinsukia","0374-9859944321, 374 2910263, 215729  ","Dr. Arpita Muksuddhi",Assam,786150,,,,
12,3497359,"Jindal Vidya Mandir","Rekong Peo","JVM School, Tapri, Tehsil Nilhar  District Kinnaur","01786-261388, 9805380049,9805583076","Mr.Bikram Singh Negi","Himachal Pradesh",172104,Kherunnisa,9805583076,,
